repo_name,owner_login,unique_human_contributors,active_days,active_months,push_events,pull_requests_opened,pull_requests_closed,merged_pull_requests,reviews_submitted,issues_opened,issue_comments,releases,weighted_activity_score,automation_event_share,single_actor_event_share,first_seen,last_seen
openclaw/openclaw,openclaw,1594,92,3,18378,1205,587,457,96,668,3325,5,47048.0,0.19735362222957328,0.4566435872073854,2026-05-01,2026-07-31
PostHog/posthog,PostHog,199,92,3,21189,262,180,169,571,15,180,0,46488.0,0.2053856524515717,0.13032995490467472,2026-05-01,2026-07-31
pytorch/pytorch,pytorch,451,92,3,17326,347,243,2,598,68,2500,0,40663.0,0.06555560480475156,0.14244379091167822,2026-05-01,2026-07-31
the-omega-institute/newmath,the-omega-institute,5,72,3,18708,75,81,74,1,23,851,0,38889.0,0.0004051248290879627,0.7885404529104818,2026-05-01,2026-07-11
onehumancorp/mono,onehumancorp,6,80,3,10586,945,844,286,0,94,4665,0,30196.0,0.11208996217028554,0.9859343994397105,2026-05-13,2026-07-31
manaflow-ai/cmux,manaflow-ai,146,92,3,12645,196,97,92,652,82,260,0,29288.0,0.16838775144750193,0.4810508182601206,2026-05-01,2026-07-31
mobbcitestjob/ai-blame-e2e-tests,mobbcitestjob,11,77,3,12459,935,789,84,0,0,0,0,28143.0,0.04587958291288261,0.16406966086159486,2026-05-01,2026-07-31
microsoft/winget-pkgs,microsoft,601,92,3,216,1724,1625,1558,1797,19,6013,0,26614.0,0.6127256041602936,0.46059329471651744,2026-05-01,2026-07-31
odoo/odoo,odoo,346,92,3,11031,102,81,0,312,6,724,0,24346.0,0.05322518346852066,0.9376631853785901,2026-05-01,2026-07-31
odoo-dev/odoo,odoo-dev,637,92,3,12011,5,0,0,2,0,4,0,24049.0,0.037161621015537404,0.019963400432540343,2026-05-01,2026-07-31
MetaMask/eth-phishing-detect,MetaMask,48,92,3,8895,0,0,0,1406,32,13,0,23459.0,0.2271606782699634,0.9943939686835492,2026-05-01,2026-07-31
