scenario,position,country_code,baseline_position,shift
baseline,1,US,1,0
baseline,2,DE,2,0
baseline,3,IN,3,0
baseline,4,CN,4,0
baseline,5,GB,5,0
baseline,6,CA,6,0
baseline,7,FR,7,0
baseline,8,AU,8,0
baseline,9,PL,9,0
baseline,10,ES,10,0
supply_+20pct,1,US,1,0
supply_+20pct,2,DE,2,0
supply_+20pct,3,IN,3,0
supply_+20pct,4,CN,4,0
supply_+20pct,5,GB,5,0
supply_+20pct,6,CA,6,0
supply_+20pct,7,FR,7,0
supply_+20pct,8,AU,8,0
supply_+20pct,9,PL,9,0
supply_+20pct,10,ES,10,0
supply_-20pct,1,US,1,0
supply_-20pct,2,DE,2,0
supply_-20pct,3,CN,4,1
supply_-20pct,4,IN,3,-1
supply_-20pct,5,CA,6,1
supply_-20pct,6,GB,5,-1
supply_-20pct,7,FR,7,0
supply_-20pct,8,AU,8,0
supply_-20pct,9,PL,9,0
supply_-20pct,10,ES,10,0
top1pct_repos_removed,1,US,1,0
top1pct_repos_removed,2,DE,2,0
top1pct_repos_removed,3,CN,4,1
top1pct_repos_removed,4,IN,3,-1
top1pct_repos_removed,5,GB,5,0
top1pct_repos_removed,6,CA,6,0
top1pct_repos_removed,7,FR,7,0
top1pct_repos_removed,8,AU,8,0
top1pct_repos_removed,9,PL,9,0
top1pct_repos_removed,10,ES,10,0
largest_org_removed,1,US,1,0
largest_org_removed,2,DE,2,0
largest_org_removed,3,IN,3,0
largest_org_removed,4,CN,4,0
largest_org_removed,5,GB,5,0
largest_org_removed,6,CA,6,0
largest_org_removed,7,FR,7,0
largest_org_removed,8,AU,8,0
largest_org_removed,9,PL,9,0
largest_org_removed,10,ES,10,0
